titles	genres
Mr. Popper's Penguins (2011)	comedy
Bad Teacher (2011)	comedy
Transformers: Dark of the Moon (2011)	action
Your Highness (2011)	comedy
Cars 2 (2011)	animation
Harry Potter and the Deathly Hallows: Part 2 (2011)	fantasy
Drive (2011)	action
Captain America: The First Avenger (2011)	action
Crazy, Stupid, Love. (2011)	comedy
One Day (2011)	romance
Winnie the Pooh (2011)	animation
Dylan Dog: Dead of Night (2010)	comedy
Friends with Benefits (2011)	romance
Rise of the Planet of the Apes (2011)	sci-fi
Very Harold & Kumar 3D Christmas, A (2011)	comedy
Fright Night (2011)	comedy
Another Earth (2011)	sci-fi
Stake Land (2010)	action
Colombiana (2011)	action
Chinese Take-Out (Chinese Take-Away) (Un cuento chino) (2011)	comedy
Moneyball (2011)	comedy
Northanger Abbey (2007)	romance
Avengers, The (2012)	action
Killer Elite (2011)	romance
50/50 (2011)	comedy
The Artist (2011)	romance
Real Steel (2011)	sci-fi
Thing, The (2011)	sci-fi
In Time (2011)	sci-fi
Johnny English Reborn (2011)	comedy
Abduction (2011)	action
What's Your Number? (2011)	romance
Puss in Boots (2011)	animation
Tower Heist (2011)	comedy
Adventures of Tintin, The (2011)	animation
Hugo (2011)	fantasy
Jack and Jill (2011)	comedy
Muppets, The (2011)	comedy
Twilight Saga: Breaking Dawn - Part 1, The (2011)	romance
Weekend (2011)	romance
Expendables 2, The (2012)	action
Snowman, The (1982)	animation
The Hunger Games (2012)	action
Dark Knight Rises, The (2012)	fantasy
Sherlock Holmes: A Game of Shadows (2011)	comedy
Young Adult (2011)	comedy
Mission: Impossible - Ghost Protocol (2011)	action
Girl with the Dragon Tattoo, The (2011)	action
Underworld: Awakening (2012)	action
Haywire (2011)	action
Seeking Justice (2011)	action
Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu) (2010)	animation
Intouchables (2011)	comedy
Chronicle (2012)	sci-fi
Vow, The (2012)	romance
Louis C.K.: Live at the Beacon Theater (2011)	comedy
This Means War (2012)	action
John Carter (2012)	sci-fi
Starbuck (2011)	comedy
21 Jump Street (2012)	comedy
Lockout (2012)	sci-fi
Wrath of the Titans (2012)	fantasy
Iron Sky (2012)	sci-fi
The Raid: Redemption (2011)	action
Battleship (2012)	sci-fi
Best Exotic Marigold Hotel, The (2011)	comedy
Lucky One, The (2012)	romance
Black Mirror (2011)	sci-fi
The Scorpion King: Rise of a Warrior (2008)	fantasy
Men in Black III (M.III.B.) (M.I.B.³) (2012)	action
Snow White and the Huntsman (2012)	fantasy
Pirates! Band of Misfits, The (2012)	animation
Prometheus (2012)	sci-fi
Moonrise Kingdom (2012)	fantasy
Safety Not Guaranteed (2012)	romance
Madagascar 3: Europe's Most Wanted (2012)	animation
Brave (2012)	animation
To Rome with Love (2012)	comedy
Seeking a Friend for the End of the World (2012)	sci-fi
Jack-Jack Attack (2005)	animation
Ted (2012)	comedy
Amazing Spider-Man, The (2012)	action
Watch, The (2012)	comedy
For the Birds (2000)	animation
Total Recall (2012)	action
Skyfall (2012)	action
ParaNorman (2012)	animation
Premium Rush (2012)	action
Pitch Perfect (2012)	comedy
Looper (2012)	sci-fi
Dredd (2012)	sci-fi
Hotel Transylvania (2012)	animation
Cloud Atlas (2012)	sci-fi
Wreck-It Ralph (2012)	animation
Silver Linings Playbook (2012)	romance
Anna Karenina (2012)	romance
Rise of the Guardians (2012)	animation
Fantastic Fear of Everything, A (2012)	comedy
Halo 4: Forward Unto Dawn (2012)	sci-fi
Paperman (2012)	animation
From Up on Poppy Hill (Kokuriko-zaka kara) (2011)	romance
Redline (2009)	animation
Hobbit: An Unexpected Journey, The (2012)	fantasy
Warm Bodies (2013)	romance
Django Unchained (2012)	action
Impossible, The (Imposible, Lo) (2012)	action
Quartet (2012)	comedy
Maximum Conviction (2012)	action
John Dies at the End (2012)	comedy
Gangster Squad (2013)	action
Batman: The Dark Knight Returns, Part 2 (2013)	animation
Upstream Color (2013)	sci-fi
Hansel & Gretel: Witch Hunters (2013)	action
Beautiful Creatures (2013)	romance
Before Midnight (2013)	romance
Jack the Giant Slayer (2013)	fantasy
G.I. Joe: Retaliation (2013)	action
Croods, The (2013)	animation
Olympus Has Fallen (2013)	action
Host, The (2013)	sci-fi
Trance (2013)	action
Oblivion (2013)	sci-fi
Wolf Children (Okami kodomo no ame to yuki) (2012)	animation
Pain & Gain (2013)	comedy
This Is the End (2013)	comedy
Iron Man 3 (2013)	action
Star Trek Into Darkness (2013)	action
Hangover Part III, The (2013)	comedy
Fast & Furious 6 (Fast and the Furious 6, The) (2013)	action
Epic (2013)	animation
Broken Circle Breakdown, The (2012)	romance
After Earth (2013)	sci-fi
Man of Steel (2013)	action
Monsters University (2013)	comedy
Not Suitable for Children (2012)	comedy
Pacific Rim (2013)	sci-fi
World War Z (2013)	action
Elysium (2013)	sci-fi
Despicable Me 2 (2013)	comedy
White House Down (2013)	action
World's End, The (2013)	sci-fi
Heat, The (2013)	comedy
The Spectacular Now (2013)	romance
Louis C.K.: Oh My God (2013)	comedy
Percy Jackson: Sea of Monsters (2013)	fantasy
Riddick (2013)	sci-fi
Wind Rises, The (Kaze tachinu) (2013)	romance
Mortal Instruments: City of Bones, The (2013)	fantasy
About Time (2013)	fantasy
Gravity (2013)	sci-fi
Austenland (2013)	romance
Don Jon (2013)	romance
Cloudy with a Chance of Meatballs 2 (2013)	animation
Ender's Game (2013)	sci-fi
Blue Umbrella, The (2013)	animation
Thor: The Dark World (2013)	fantasy
One Piece Film Z (2012)	animation
The Hunger Games: Catching Fire (2013)	romance
Hobbit: The Desolation of Smaug, The (2013)	fantasy
47 Ronin (2013)	fantasy
Day of the Doctor, The (2013)	sci-fi
Frozen (2013)	animation
Evangelion: 3.0 You Can (Not) Redo (2012)	sci-fi
American Hustle (2013)	romance
Secret Life of Walter Mitty, The (2013)	romance
Her (2013)	sci-fi
Anchorman 2: The Legend Continues (2013)	comedy
Snowpiercer (2013)	sci-fi
Dragon Ball Z: Battle of Gods (2013)	action
Dragon ball Z 04: Lord Slug (1991)	action
Ride Along (2014)	comedy
Divergent (2014)	action
Hotel Chevalier (Part 1 of 'The Darjeeling Limited') (2007)	romance
Yeh Jawaani Hai Deewani (2013)	romance
Big Bang Theory, The (2007-)	comedy
Fawlty Towers (1975-1979)	comedy
Generation Kill (2008)	action
Monuments Men, The (2014)	action
The Lego Movie (2014)	animation
RoboCop (2014)	sci-fi
Cowboy Bebop (1998)	sci-fi
Knights of Badassdom (2013)	fantasy
Winter's Tale (2014)	fantasy
Grand Budapest Hotel, The (2014)	fantasy
Interstellar (2014)	sci-fi
Welcome to the Jungle (2013)	comedy
300: Rise of an Empire (2014)	action
Obvious Child (2014)	romance
Need for Speed (2014)	action
Captain America: The Winter Soldier (2014)	action
Noah (2014)	fantasy
The Raid 2: Berandal (2014)	action
The Amazing Spider-Man 2 (2014)	action
Rio 2 (2014)	animation
Transcendence (2014)	fantasy
Neighbors (2014)	comedy
Jodorowsky's Dune (2013)	sci-fi
Belle (2013)	romance
Lucy (2014)	sci-fi
X-Men: Days of Future Past (2014)	action
Blended (2014)	comedy
Begin Again (2013)	romance
Maleficent (2014)	fantasy
At Middleton (2013)	romance
Edge of Tomorrow (2014)	sci-fi
Mission: Impossible - Rogue Nation (2015)	action
The Fault in Our Stars (2014)	romance
Equalizer, The (2014)	action
How to Train Your Dragon 2 (2014)	animation
Birdman: Or (The Unexpected Virtue of Ignorance) (2014)	comedy
Transformers: Age of Extinction (2014)	action
They Came Together (2014)	comedy
Planes: Fire & Rescue (2014)	animation
Dawn of the Planet of the Apes (2014)	sci-fi
Sex Tape (2014)	comedy
Guardians of the Galaxy (2014)	sci-fi
Hercules (2014)	action
Magic in the Moonlight (2014)	comedy
Jupiter Ascending (2015)	sci-fi
Teenage Mutant Ninja Turtles (2014)	action
Inbetweeners 2, The (2014)	comedy
Coherence (2013)	sci-fi
Guest, The (2014)	action
Maze Runner, The (2014)	action
Boxtrolls, The (2014)	animation
Two Night Stand (2014)	comedy
Dracula Untold (2014)	action
Predestination (2014)	sci-fi
What We Do in the Shadows (2014)	comedy
The Best of Me (2014)	romance
John Wick (2014)	action
Fury (2014)	action
Rewrite, The (2014)	comedy
Big Hero 6 (2014)	animation
The Book of Life (2014)	romance
Time Lapse (2014)	sci-fi
Ex Machina (2015)	sci-fi
The Imitation Game (2014)	sci-fi
The Hunger Games: Mockingjay - Part 1 (2014)	action
Dumb and Dumber To (2014)	comedy
The Theory of Everything (2014)	romance
Doctor Who: The Time of the Doctor (2013)	comedy
Song of the Sea (2014)	animation
Beyond the Lights (2014)	romance
Jurassic World (2015)	sci-fi
Horrible Bosses 2 (2014)	comedy
Penguins of Madagascar (2014)	comedy
Maze Runner: Scorch Trials (2015)	action
Into the Woods (2014)	comedy
The Interview (2014)	comedy
Kingsman: The Secret Service (2015)	action
Seventh Son (2014)	fantasy
Chappie (2015)	sci-fi
Taken 3 (2015)	action
Terminator Genisys (2015)	action
Mad Max: Fury Road (2015)	action
Star Wars: Episode VII - The Force Awakens (2015)	action
Avengers: Age of Ultron (2015)	action
Ant-Man (2015)	sci-fi
Fantastic Four (2015)	sci-fi
Louis C.K.: Live at The Comedy Store (2015)	comedy
Tig (2015)	comedy
Me and Earl and the Dying Girl (2015)	comedy
Focus (2015)	action
The Second Best Exotic Marigold Hotel (2015)	comedy
Run All Night (2015)	action
Insurgent (2015)	sci-fi
Home (2015)	animation
Furious 7 (2015)	action
Get Hard (2015)	comedy
Tomorrowland (2015)	sci-fi
The Age of Adaline (2015)	romance
Lovesick (2014)	fantasy
San Andreas (2015)	action
Far from the Madding Crowd (2015)	romance
Hitman: Agent 47 (2015)	action
Carol (2015)	romance
The Martian (2015)	sci-fi
Spy (2015)	comedy
Entourage (2015)	comedy
Inside Out (2015)	comedy
Self/less (2015)	sci-fi
Ted 2 (2015)	comedy
Minions (2015)	comedy
The Good Dinosaur (2015)	animation
Anomalisa (2015)	animation
Hotel Transylvania 2 (2015)	animation
Peanuts Movie, The (2015)	animation
Kung Fu Panda 3 (2016)	comedy
